locus_id	tree_scope	lineage_filter	clade_rank	node	side	lineage	bootstrap	n_tips	n_modern_haplotype_types	n_modern_haplotype_copies	n_archaic_tips	modern_haplotypes	archaic_references	family_ids	clade_pass	rule	interpretation
rs1041791	region_common_unfiltered_lineage	Denisovan	1	N30	complement	Denisovan	90	60	58	2780	2	H1,H10,H12,H16,H17,H18,H19,H2,H20,H21,H22,H25,H26,H27,H29,H31,H32,H34,H35,H37,H38,H39,H4,H40,H42,H43,H44,H48,H49,H50,H51,H52,H54,H55,H56,H59,H6,H60,H61,H67,H69,H7,H70,H71,H72,H73,H75,H76,H77,H78,H79,H8,H81,H82,H83,H84,H85,H9	Denisova,Denisova25	F0001_Denisovan,F0002_Neanderthal	1	unfiltered_region_common_tree;bootstrap>=70;modern_types>=2	tree_supported_archaic_affinity_not_outgroup_or_anchor_filtered
rs1041791	region_common_unfiltered_lineage	Denisovan	2	N79	descendant	Denisovan	82	50	48	2033	2	H10,H12,H16,H17,H18,H19,H2,H22,H25,H26,H27,H29,H34,H37,H4,H40,H42,H43,H44,H48,H49,H50,H51,H52,H54,H55,H56,H59,H6,H60,H67,H69,H7,H70,H71,H72,H73,H75,H76,H77,H78,H8,H81,H82,H83,H84,H85,H9	Denisova,Denisova25	F0001_Denisovan,F0002_Neanderthal	1	unfiltered_region_common_tree;bootstrap>=70;modern_types>=2	tree_supported_archaic_affinity_not_outgroup_or_anchor_filtered
rs1041791	region_common_unfiltered_lineage	Denisovan	3	N29	complement	Denisovan	77	68	66	3027	2	H1,H10,H12,H13,H15,H16,H17,H18,H19,H2,H20,H21,H22,H25,H26,H27,H29,H30,H31,H32,H33,H34,H35,H37,H38,H39,H4,H40,H41,H42,H43,H44,H48,H49,H50,H51,H52,H54,H55,H56,H57,H59,H6,H60,H61,H62,H63,H67,H69,H7,H70,H71,H72,H73,H75,H76,H77,H78,H79,H8,H81,H82,H83,H84,H85,H9	Denisova,Denisova25	F0001_Denisovan,F0002_Neanderthal	1	unfiltered_region_common_tree;bootstrap>=70;modern_types>=2	tree_supported_archaic_affinity_not_outgroup_or_anchor_filtered
rs1041791	region_common_unfiltered_lineage	Denisovan	4	N78	descendant	Denisovan	44	47	45	1950	2	H10,H12,H16,H17,H18,H19,H2,H22,H26,H27,H34,H37,H4,H40,H42,H43,H44,H48,H49,H50,H51,H52,H54,H55,H56,H59,H6,H60,H67,H7,H70,H71,H72,H73,H75,H76,H77,H78,H8,H81,H82,H83,H84,H85,H9	Denisova,Denisova25	F0001_Denisovan,F0002_Neanderthal	0	unfiltered_region_common_tree;bootstrap>=70;modern_types>=2	tree_supported_archaic_affinity_not_outgroup_or_anchor_filtered
rs1041791	region_common_unfiltered_lineage	Neanderthal	1	N60	descendant	Neanderthal	97	61	58	2780	3	H1,H10,H12,H16,H17,H18,H19,H2,H20,H21,H22,H25,H26,H27,H29,H31,H32,H34,H35,H37,H38,H39,H4,H40,H42,H43,H44,H48,H49,H50,H51,H52,H54,H55,H56,H59,H6,H60,H61,H67,H69,H7,H70,H71,H72,H73,H75,H76,H77,H78,H79,H8,H81,H82,H83,H84,H85,H9	Altai,Chagyr,Vindija	F0001_Denisovan,F0002_Neanderthal	1	unfiltered_region_common_tree;bootstrap>=70;modern_types>=2	tree_supported_archaic_affinity_not_outgroup_or_anchor_filtered
rs1041791	region_common_unfiltered_lineage	Neanderthal	2	N68	descendant	Neanderthal	81	69	66	3027	3	H1,H10,H12,H13,H15,H16,H17,H18,H19,H2,H20,H21,H22,H25,H26,H27,H29,H30,H31,H32,H33,H34,H35,H37,H38,H39,H4,H40,H41,H42,H43,H44,H48,H49,H50,H51,H52,H54,H55,H56,H57,H59,H6,H60,H61,H62,H63,H67,H69,H7,H70,H71,H72,H73,H75,H76,H77,H78,H79,H8,H81,H82,H83,H84,H85,H9	Altai,Chagyr,Vindija	F0001_Denisovan,F0002_Neanderthal	1	unfiltered_region_common_tree;bootstrap>=70;modern_types>=2	tree_supported_archaic_affinity_not_outgroup_or_anchor_filtered
rs1041791	region_common_unfiltered_lineage	Neanderthal	3	N59	descendant	Neanderthal	81	13	10	747	3	H1,H20,H21,H31,H32,H35,H38,H39,H61,H79	Altai,Chagyr,Vindija	F0001_Denisovan,F0002_Neanderthal	1	unfiltered_region_common_tree;bootstrap>=70;modern_types>=2	tree_supported_archaic_affinity_not_outgroup_or_anchor_filtered
rs1041791	region_common_unfiltered_all_archaic	ALL	1	N61	descendant	Neanderthal	71	13	10	747	3	H1,H20,H21,H31,H32,H35,H38,H39,H61,H79	Altai,Chagyr,Vindija	F0001_Denisovan,F0002_Neanderthal	1	unfiltered_region_common_tree;bootstrap>=70;modern_types>=2	tree_supported_archaic_affinity_not_outgroup_or_anchor_filtered
rs1041791	region_common_unfiltered_all_archaic	ALL	2	N49	descendant	Denisovan	69	50	48	2033	2	H10,H12,H16,H17,H18,H19,H2,H22,H25,H26,H27,H29,H34,H37,H4,H40,H42,H43,H44,H48,H49,H50,H51,H52,H54,H55,H56,H59,H6,H60,H67,H69,H7,H70,H71,H72,H73,H75,H76,H77,H78,H8,H81,H82,H83,H84,H85,H9	Denisova,Denisova25	F0001_Denisovan,F0002_Neanderthal	0	unfiltered_region_common_tree;bootstrap>=70;modern_types>=2	tree_supported_archaic_affinity_not_outgroup_or_anchor_filtered
rs1041791	region_common_unfiltered_all_archaic	ALL	3	N4	descendant	Denisovan	48	5	3	83	2	H25,H29,H69	Denisova,Denisova25	F0001_Denisovan,F0002_Neanderthal	0	unfiltered_region_common_tree;bootstrap>=70;modern_types>=2	tree_supported_archaic_affinity_not_outgroup_or_anchor_filtered
